Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,Seed
LDA,0.84375,0.84375,0.8813131313131313,0.84375,0.8451456696038739,0.8021806287494233,0.7966153846153846,0.0460347180535755,0.0276179313659667,3
RidgeClassifier,0.84375,0.84375,0.875,0.84375,0.8423076923076922,0.8011103405759895,0.8039999999999999,0.0521499885117451,0.0320401191711425,3
Perceptron,0.84375,0.84375,0.8762626262626263,0.84375,0.8330753353973168,0.805417416458665,0.8427692307692307,0.0527887382646522,0.0673744678497314,3
MLP_Large,0.84375,0.84375,0.8472222222222222,0.84375,0.833584715937657,0.7989825537092421,0.8126153846153846,0.0280726024072788,0.4452016353607178,3
HistGradientBoosting,0.8125,0.8125,0.8541666666666666,0.8125,0.8131410256410256,0.7630270261187353,0.7652307692307693,0.0279577026254782,1.874478101730347,3
XGBoost,0.78125,0.78125,0.8083333333333333,0.78125,0.7817460317460317,0.7158291329065412,0.7886153846153846,0.0596050115044842,0.9436872005462646,3
GradientBoosting,0.78125,0.78125,0.8333333333333333,0.78125,0.7830639948287008,0.7225869414717834,0.7424615384615384,0.0511880163490585,2.7695765495300293,3
ExtraTree,0.71875,0.71875,0.7847222222222222,0.71875,0.7084224598930482,0.6428243465332251,0.6556923076923077,0.1102139930333486,0.0259974002838134,3
MLP_Medium,0.6875,0.6875,0.7074175824175825,0.6875,0.6785714285714286,0.5966908442982777,0.7661538461538461,0.0940552525515953,0.3195686340332031,3
MLP_L2,0.6875,0.6875,0.7074175824175825,0.6875,0.6785714285714286,0.5966908442982777,0.7661538461538461,0.0940552525515953,0.321671724319458,3
AdaBoost,0.5625,0.5625,0.6666666666666666,0.5625,0.5674325674325674,0.4600437062282361,0.7264615384615386,0.0693530543944976,0.6230525970458984,3
GaussianProcess,0.46875,0.46875,0.2543290043290043,0.46875,0.322141560798548,0.3760507165451774,0.2421538461538461,0.0141538461538461,1.150902271270752,3
DummyStratified,0.3125,0.3125,0.3178571428571428,0.3125,0.3031801531801532,0.0861860827177143,0.2809230769230769,0.0428079514816952,0.0289583206176757,3
MLP_Small,0.25,0.25,0.064516129032258,0.25,0.1025641025641025,0.0,0.3212307692307692,0.1183171947769285,0.1964688301086425,3
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.2344615384615384,0.0045221349097535,0.0172798633575439,3
KNN_5,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632144,0.8667692307692307,0.0537854602996476,0.060662031173706,5
KNN_3,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632144,0.8356923076923076,0.0302635367530751,0.0507154464721679,5
MLP_Large,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632144,0.7335384615384615,0.1001886977055246,0.3080918788909912,5
LinearSVC,0.9375,0.9375,0.9409722222222222,0.9375,0.9373774509803922,0.9178625793300312,0.8667692307692307,0.0474644681803659,0.216259479522705,5
StackingEnsemble,0.9375,0.9375,0.95,0.9375,0.9388888888888888,0.9202685142026326,0.858153846153846,0.0665526441087792,4.677892446517944,5
RidgeClassifier,0.90625,0.90625,0.9166666666666666,0.90625,0.907843137254902,0.8772875856031493,0.8676923076923077,0.0380469967868298,0.0321440696716308,5
SVC_Linear,0.90625,0.90625,0.9131944444444444,0.90625,0.9079656862745098,0.8761415529968479,0.8510769230769231,0.0467388565335008,0.0306949615478515,5
VotingEnsemble,0.875,0.875,0.8740079365079365,0.875,0.8727941176470588,0.8344205266636646,0.8513846153846154,0.030391527938131,1.9261119365692136,5
XGBoost,0.875,0.875,0.8809523809523809,0.875,0.8745098039215686,0.8355119862887136,0.7953846153846155,0.0801418860115677,0.9427218437194824,5
Perceptron,0.875,0.875,0.875,0.875,0.8697478991596639,0.8366077401842115,0.8043076923076923,0.0747090609429823,0.0601303577423095,5
ExtraTrees,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8513846153846154,0.0168417626872664,0.9940860271453856,5
AdaBoost,0.875,0.875,0.8944444444444444,0.875,0.8757236227824463,0.8388122439800432,0.7504615384615384,0.0365157014132844,0.5873885154724121,5
MLP_L2,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.7652307692307692,0.0893240891328217,0.3296887874603271,5
LogisticRegression_L2,0.875,0.875,0.8774801587301587,0.875,0.8746323529411765,0.8344205266636646,0.8815384615384614,0.0680410596538337,0.0290093421936035,5
KNN_7,0.875,0.875,0.875,0.875,0.8697478991596639,0.8366077401842115,0.8584615384615384,0.0750163690223792,0.0653200149536132,5
NuSVC,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8664615384615384,0.060564601921561,0.0322327613830566,5
SVC_RBF,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8738461538461537,0.0697654566021841,0.028740644454956,5
LogisticRegression_ElasticNet,0.875,0.875,0.89375,0.875,0.8774801587301587,0.837707816583391,0.8427692307692307,0.0581237203205827,0.0449137687683105,5
