Classifier,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,MCC_Mean,MCC_Std,CV_Mean_Mean,CV_Mean_Std
NuSVC,0.8541666666666666,0.06505206248331663,0.8541666666666666,0.06505206248331663,0.8637896825396826,0.059282496964399856,0.8541666666666666,0.06505206248331663,0.8510194462400346,0.06960348963411055,0.8108026987685203,0.08127760942343958,0.8694358974358973,0.005151740863538215
KNN_7,0.8541666666666666,0.036084391824351594,0.8541666666666666,0.036084391824351594,0.8645833333333334,0.019873733362853144,0.8541666666666666,0.036084391824351594,0.8471930438842205,0.03888940511086033,0.8117647281632463,0.043985492387057304,0.8433846153846153,0.015076923076923016
Perceptron,0.84375,0.03125,0.84375,0.03125,0.8654250841750842,0.01768897636356236,0.84375,0.03125,0.8348828566514325,0.033997338378549354,0.8016840609205372,0.03693215168761348,0.8303589743589743,0.022569463232683232
MLP_Large,0.84375,0.125,0.84375,0.125,0.86506734006734,0.09944056265327163,0.84375,0.125,0.8283718345637849,0.1429333689486803,0.8016539265851046,0.15661108104401072,0.7522051282051282,0.05357411132570702
GaussianNB,0.84375,0.03125,0.84375,0.03125,0.8689814814814815,0.024467056040229227,0.84375,0.03125,0.8410558667911608,0.036599007710444074,0.8006049178146526,0.036484220152860604,0.8717948717948717,0.01224728766816655
CatBoost,0.8333333333333334,0.04773516348912335,0.8333333333333334,0.04773516348912335,0.8434193121693121,0.04629380426021582,0.8333333333333334,0.04773516348912335,0.8313433706816059,0.04777182183519309,0.7818068577738232,0.06298919233947176,0.0,0.0
Bagging,0.8333333333333334,0.04773516348912335,0.8333333333333334,0.04773516348912335,0.8323743386243386,0.04703786514423909,0.8333333333333334,0.04773516348912335,0.8291452692187987,0.05082748101370695,0.7800368114590609,0.061697457275139644,0.796923076923077,0.02884441020371194
NearestCentroid,0.8229166666666666,0.06505206248331663,0.8229166666666666,0.06505206248331663,0.8364748677248678,0.07124054378172077,0.8229166666666666,0.06505206248331663,0.8213081172639995,0.07049410679708745,0.7688056702683107,0.08598626174969372,0.8588717948717948,0.02128495500734486
RandomForest,0.8229166666666666,0.036084391824351594,0.8229166666666666,0.036084391824351594,0.8264880952380952,0.04381676150099842,0.8229166666666666,0.036084391824351594,0.8201388888888889,0.0396928310067869,0.7668904285021938,0.048301570400147854,0.8567179487179487,0.029719530499263375
LDA,0.8229166666666666,0.06505206248331663,0.8229166666666666,0.06505206248331663,0.8442340067340067,0.06477043005620446,0.8229166666666666,0.06505206248331663,0.8200537637457143,0.07253918134421466,0.7722276608935497,0.0814124913348773,0.8335384615384616,0.035755911498668164
PassiveAggressive,0.8125,0.08267972847076846,0.8125,0.08267972847076846,0.8390422077922078,0.04682286327071796,0.8125,0.08267972847076846,0.7985747661637754,0.1005348553825499,0.7614503634606131,0.09730014776999969,0.8384615384615385,0.011920843463267999
QDA,0.8020833333333334,0.06505206248331666,0.8020833333333334,0.06505206248331666,0.8180796055796056,0.07077071710780972,0.8020833333333334,0.06505206248331666,0.8017541812046455,0.06585517869387485,0.7409667806397314,0.08720158374828245,0.7649230769230769,0.032778980131504154
XGBoost,0.78125,0.09375,0.78125,0.09375,0.7932539682539682,0.09612926309390954,0.78125,0.09375,0.7808434484905074,0.09412089289997802,0.712066503199118,0.12536915218449432,0.8145641025641025,0.039228456442636006
HistGradientBoosting,0.7708333333333334,0.07216878364870323,0.7708333333333334,0.07216878364870323,0.7912367724867725,0.07631582347080153,0.7708333333333334,0.07216878364870323,0.7693198005698005,0.06542333807278705,0.7016054189589863,0.10115182834659962,0.7784615384615385,0.045020968158897855
MLP_Medium,0.7708333333333334,0.09547032697824667,0.7708333333333334,0.09547032697824667,0.7910307285307286,0.09689575149287377,0.7708333333333334,0.09547032697824667,0.7657583973760445,0.10161670472216168,0.7045831112390655,0.12319056750050798,0.7608205128205127,0.008450809048252078
DecisionTree,0.7708333333333334,0.10045469542700997,0.7708333333333334,0.10045469542700997,0.7910263347763348,0.10785928544721922,0.7708333333333334,0.10045469542700997,0.767972525267417,0.09805982445979068,0.7012214799902482,0.13714087401240221,0.7425641025641024,0.030929327088731362
AdaBoost,0.7708333333333334,0.18042195912175804,0.7708333333333334,0.18042195912175804,0.8131944444444444,0.1271478282002858,0.7708333333333334,0.18042195912175804,0.7726778803984686,0.17774815856298684,0.7110921589573147,0.21742542631554165,0.7476923076923078,0.019990530302499327
MLP_L2,0.7708333333333334,0.09547032697824667,0.7708333333333334,0.09547032697824667,0.7910307285307286,0.09689575149287377,0.7708333333333334,0.09547032697824667,0.7657583973760445,0.10161670472216168,0.7045831112390655,0.12319056750050798,0.7608205128205127,0.008450809048252078
GradientBoosting,0.7604166666666666,0.06505206248331663,0.7604166666666666,0.06505206248331663,0.7818662818662818,0.07775228459011331,0.7604166666666666,0.06505206248331663,0.7546616667359701,0.07217043854001427,0.6903278086042794,0.08542991331260429,0.7865641025641025,0.04003469895372743
SVC_Poly,0.75,0.08267972847076846,0.75,0.08267972847076846,0.8411998132586368,0.03462248423597654,0.75,0.08267972847076846,0.7561669731234949,0.08364271489756056,0.696692517638782,0.09286004616059657,0.7342564102564103,0.05897293197827625
ExtraTree,0.6770833333333334,0.07216878364870323,0.6770833333333334,0.07216878364870323,0.7241372053872054,0.07909389460278014,0.6770833333333334,0.07216878364870323,0.6776088612969419,0.06506666121766656,0.5799751888019037,0.10072266737469059,0.6954871794871794,0.03659512475478858
GaussianProcess,0.4791666666666667,0.04773516348912333,0.4791666666666667,0.04773516348912333,0.37549672549672547,0.15141523798880244,0.4791666666666667,0.04773516348912333,0.3565943820561093,0.051428142620785273,0.41387983385198024,0.05213988249776104,0.3053333333333333,0.05471504089550913
MLP_Small,0.3541666666666667,0.20807275370248104,0.3541666666666667,0.20807275370248104,0.20070122134875448,0.2412537644877463,0.3541666666666667,0.20807275370248104,0.23558423301844353,0.23951234036399632,0.13462758421964177,0.3287215396221889,0.33630769230769225,0.11016115145522415
DummyStratified,0.25,0.08267972847076846,0.25,0.08267972847076846,0.23982082732082724,0.09381577626983832,0.25,0.08267972847076846,0.240090838813749,0.08415200211263699,0.0002635036707869058,0.11257339825264201,0.24492307692307688,0.03456440690728064
DummyMostFrequent,0.25,0.0,0.25,0.0,0.0625,0.0,0.25,0.0,0.10000000000000002,0.0,0.0,0.0,0.2344615384615384,0.0
