Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
KNN_7,0.7625,0.7625,0.7639074464258184,0.7625,0.7623365167915312,0.6838559229509721,0.775087260034904,0.023094254751292533,0.05860304832458496
RidgeClassifier,0.7625,0.7625,0.7623093465250604,0.7625,0.7604502397954391,0.684506874235183,0.7531359075043629,0.02329058695409416,0.026781558990478516
AdaBoost,0.7625,0.7625,0.766761672477133,0.7625,0.7634491750467981,0.6840145203053043,0.7782558900523561,0.016560598458434387,0.6974694728851318
GaussianNB,0.7458333333333333,0.7458333333333333,0.7454069336299592,0.7458333333333333,0.7455184310456608,0.6611723336061363,0.743728184991274,0.008613614137172137,0.029619932174682617
SGDClassifier,0.7458333333333333,0.7458333333333333,0.7610613106636085,0.7458333333333333,0.7457425403714381,0.6650172440746887,0.7499400087260034,0.03619707707099853,0.07808613777160645
KNN_3,0.7458333333333333,0.7458333333333333,0.7452361676999468,0.7458333333333333,0.7449041763598093,0.6614940309874751,0.7384762216404887,0.015796721408882358,0.1600799560546875
NearestCentroid,0.7333333333333333,0.7333333333333334,0.7328701181053567,0.7333333333333333,0.7329744754549327,0.6445190458736976,0.7259434991273996,0.010711819049897237,0.2037367820739746
DecisionTree,0.7,0.7,0.6995236773954866,0.7,0.696653823347684,0.6017997319902206,0.7154886561954624,0.01523456253487703,0.04114961624145508
ExtraTree,0.675,0.6749999999999999,0.675724651442498,0.675,0.6733894236741259,0.567811329368575,0.6652595986038394,0.032390998123544505,0.027498245239257812
PassiveAggressive,0.6416666666666667,0.6416666666666667,0.6725266362252663,0.6416666666666667,0.597541035687811,0.5447971026341628,0.7447316753926702,0.023156906632186405,0.06910181045532227
DummyStratified,0.26666666666666666,0.26666666666666666,0.267514007467534,0.26666666666666666,0.2667868562437917,0.022239217006535677,0.2562881762652705,0.016725614991403733,0.025658845901489258
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.2510471204188482,0.0005235602094240787,0.015274763107299805
