Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
ExtraTrees,0.8041666666666667,0.8041666666666667,0.8054688380568322,0.8041666666666667,0.8034115302885747,0.7397970677340417,0.8033376963350787,0.01619285057848633,1.196471929550171,0.7818181818181819,0.7166666666666667,0.7478260869565218,60.0,0.7647058823529411,0.8666666666666667,0.8125,60.0,0.8360655737704918,0.85,0.8429752066115702,60.0,0.8392857142857143,0.7833333333333333,0.8103448275862069,60.0,"[[43, 8, 6, 3], [6, 52, 0, 2], [5, 0, 51, 4], [1, 8, 4, 47]]",43,8,6,3,6,52,0,2,5,0,51,4,1,8,4,47,0.1968582510088639,0.12451977039573259,0.09824180368059952,0.05552424511120704,0.07874636027157629,0.0928526047192157,0.08681991235341158,0.08205062082405794,0.08532085989021411,0.09906557174512146
XGBoost,0.8,0.7999999999999999,0.8016681046879494,0.8,0.8002158649431376,0.7337070756453006,0.7918248254799302,0.01750741436297499,1.5696921348571777,0.7049180327868853,0.7166666666666667,0.7107438016528925,60.0,0.8421052631578947,0.8,0.8205128205128205,60.0,0.8596491228070176,0.8166666666666667,0.8376068376068376,60.0,0.8,0.8666666666666667,0.832,60.0,"[[43, 7, 4, 6], [7, 48, 1, 4], [7, 1, 49, 3], [4, 1, 3, 52]]",43,7,4,6,7,48,1,4,7,1,49,3,4,1,3,52,0.2112858146429062,0.0894877091050148,0.05806935578584671,0.02751765586435795,0.05510770156979561,0.15130776166915894,0.11949876695871353,0.06835783272981644,0.06296283006668091,0.15640456974506378
HistGradientBoosting,0.8,0.8,0.7993624772313297,0.8,0.7993330448764733,0.7335541120077193,0.7698243891797556,0.034356708234083475,14.695039987564087,0.75,0.7,0.7241379310344828,60.0,0.7777777777777778,0.8166666666666667,0.7967479674796748,60.0,0.85,0.85,0.85,60.0,0.819672131147541,0.8333333333333334,0.8264462809917356,60.0,"[[42, 8, 6, 4], [7, 49, 0, 4], [4, 2, 51, 3], [3, 4, 3, 50]]",42,8,6,4,7,49,0,4,4,2,51,3,3,4,3,50,,,,,,,,,,
Bagging,0.8,0.8,0.8011663048419568,0.8,0.8003758639935987,0.7334521893832306,0.7730148342059338,0.013443781215070156,6.353562355041504,0.75,0.75,0.75,60.0,0.7741935483870968,0.8,0.7868852459016393,60.0,0.8771929824561403,0.8333333333333334,0.8547008547008547,60.0,0.8032786885245902,0.8166666666666667,0.8099173553719008,60.0,"[[45, 10, 3, 2], [7, 48, 1, 4], [4, 0, 50, 6], [4, 4, 3, 49]]",45,10,3,2,7,48,1,4,4,0,50,6,4,4,3,49,,,,,,,,,,
MLP_L2,0.7958333333333333,0.7958333333333334,0.797039110005528,0.7958333333333333,0.7949244153508743,0.7287061199601832,0.7949498254799302,0.020767166474469193,0.9178178310394287,0.8148148148148148,0.7333333333333333,0.7719298245614035,60.0,0.7761194029850746,0.8666666666666667,0.8188976377952756,60.0,0.7936507936507936,0.8333333333333334,0.8130081300813008,60.0,0.8035714285714286,0.75,0.7758620689655172,60.0,"[[44, 7, 6, 3], [5, 52, 0, 3], [4, 1, 50, 5], [1, 7, 7, 45]]",44,7,6,3,5,52,0,3,4,1,50,5,1,7,7,45,,,,,,,,,,
MLP_Medium,0.7958333333333333,0.7958333333333334,0.797039110005528,0.7958333333333333,0.7949244153508743,0.7287061199601832,0.7907667975567192,0.021694543588236834,0.6039834022521973,0.8148148148148148,0.7333333333333333,0.7719298245614035,60.0,0.7761194029850746,0.8666666666666667,0.8188976377952756,60.0,0.7936507936507936,0.8333333333333334,0.8130081300813008,60.0,0.8035714285714286,0.75,0.7758620689655172,60.0,"[[44, 7, 6, 3], [5, 52, 0, 3], [4, 1, 50, 5], [1, 7, 7, 45]]",44,7,6,3,5,52,0,3,4,1,50,5,1,7,7,45,,,,,,,,,,
LogisticRegression_L2,0.7958333333333333,0.7958333333333334,0.795975349969568,0.7958333333333333,0.7947818801682867,0.7284356904402853,0.8138034467713787,0.02263395464960655,0.06289291381835938,0.75,0.75,0.75,60.0,0.8,0.8666666666666667,0.832,60.0,0.8225806451612904,0.85,0.8360655737704918,60.0,0.8113207547169812,0.7166666666666667,0.7610619469026548,60.0,"[[45, 7, 5, 3], [5, 52, 0, 3], [4, 1, 51, 4], [6, 5, 6, 43]]",45,7,5,3,5,52,0,3,4,1,51,4,6,5,6,43,1.086592674255371,0.48895877599716187,0.32155078649520874,0.23657499253749847,0.42308956384658813,0.2970718741416931,0.33841922879219055,0.20310021936893463,0.3734033405780792,0.5303970575332642
LogisticRegression_ElasticNet,0.7916666666666666,0.7916666666666667,0.7916518190262993,0.7916666666666666,0.7904565094762274,0.7229254083621643,0.8127454188481675,0.020914396555785978,0.0796349048614502,0.7457627118644068,0.7333333333333333,0.7394957983193278,60.0,0.8,0.8666666666666667,0.832,60.0,0.8095238095238095,0.85,0.8292682926829268,60.0,0.8113207547169812,0.7166666666666667,0.7610619469026548,60.0,"[[44, 7, 6, 3], [5, 52, 0, 3], [4, 1, 51, 4], [6, 5, 6, 43]]",44,7,6,3,5,52,0,3,4,1,51,4,6,5,6,43,1.0946409702301025,0.48446911573410034,0.30282530188560486,0.21623192727565765,0.40623030066490173,0.2950228452682495,0.30467110872268677,0.18405236303806305,0.357489675283432,0.5238944292068481
LogisticRegression_L1,0.7916666666666666,0.7916666666666667,0.792390197196871,0.7916666666666666,0.7904833965844402,0.7231099158302664,0.8148396596858639,0.022706901386806807,0.07751989364624023,0.7457627118644068,0.7333333333333333,0.7394957983193278,60.0,0.8,0.8666666666666667,0.832,60.0,0.796875,0.85,0.8225806451612904,60.0,0.8269230769230769,0.7166666666666667,0.7678571428571429,60.0,"[[44, 7, 7, 2], [5, 52, 0, 3], [4, 1, 51, 4], [6, 5, 6, 43]]",44,7,7,2,5,52,0,3,4,1,51,4,6,5,6,43,1.10373055934906,0.48037123680114746,0.28286439180374146,0.19517317414283752,0.3879352807998657,0.2958875298500061,0.29722893238067627,0.16557098925113678,0.33991774916648865,0.5174787044525146
SVC_Poly,0.7875,0.7875000000000001,0.8173922337643983,0.7875,0.7899104885444495,0.7262622484446672,0.7709042321116929,0.01147834885143456,0.2460029125213623,0.7924528301886793,0.7,0.7433628318584071,60.0,0.92,0.7666666666666667,0.8363636363636363,60.0,0.9166666666666666,0.7333333333333333,0.8148148148148148,60.0,0.6404494382022472,0.95,0.7651006711409396,60.0,"[[42, 3, 2, 13], [7, 46, 0, 7], [4, 0, 44, 12], [0, 1, 2, 57]]",42,3,2,13,7,46,0,7,4,0,44,12,0,1,2,57,,,,,,,,,,
