Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,Seed
AdaBoost,0.7867647058823529,0.7867647058823529,0.7962874484613615,0.7867647058823529,0.7867108164691973,0.7186844565186671,0.7629202935654549,0.018036600125766,0.333270788192749,3
SGDClassifier,0.7867647058823529,0.7867647058823529,0.7975331041507512,0.7867647058823529,0.7864771490171751,0.7196397975998837,0.7029655231268135,0.0504537138170311,0.0738255977630615,3
QDA,0.7794117647058824,0.7794117647058822,0.7799902152641878,0.7794117647058824,0.7774810261307232,0.7071451473069299,0.7702551629970985,0.0276409827708396,0.0166773796081542,3
MLP_Small,0.7720588235294118,0.7720588235294117,0.774702799683605,0.7720588235294118,0.7693862635900823,0.6982841883291151,0.7371138419525516,0.0237496808608821,0.3999507427215576,3
XGBoost,0.7720588235294118,0.7720588235294117,0.7747999838741009,0.7720588235294118,0.771754875218565,0.6971093798535606,0.778584229390681,0.0203456367778518,1.412576675415039,3
PassiveAggressive,0.7720588235294118,0.7720588235294118,0.7779185562696975,0.7720588235294118,0.7728186423730657,0.697298464071712,0.6246586448199352,0.1089997873097855,0.0722937583923339,3
RidgeClassifier,0.7683823529411765,0.7683823529411764,0.7698098471805708,0.7683823529411765,0.7657919723620473,0.6930525298193004,0.7555342208568014,0.0238608384906374,0.0276691913604736,3
GaussianNB,0.7169117647058824,0.7169117647058824,0.7167644108736592,0.7169117647058824,0.715693225390622,0.6231895196485114,0.7426096603515957,0.0292936200692271,0.0274949073791503,3
DecisionTree,0.7095588235294118,0.7095588235294118,0.711764705882353,0.7095588235294118,0.7091332782601898,0.6136748082707142,0.6835594811401263,0.021443723818301,0.0336201190948486,3
NearestCentroid,0.7058823529411765,0.7058823529411765,0.7068201394870655,0.7058823529411765,0.7048393825615352,0.6086663940415029,0.7269329237071173,0.0253503282467496,0.1715614795684814,3
Perceptron,0.6691176470588235,0.6691176470588235,0.6841785747641728,0.6691176470588235,0.6636647855604809,0.5651638154100526,0.7038189110769756,0.0308465087168041,0.0742092132568359,3
ExtraTree,0.6617647058823529,0.661764705882353,0.6619620958751393,0.6617647058823529,0.6611483345580526,0.5494356444121663,0.6586917562724015,0.0198624665858536,0.0171377658843994,3
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.2490783410138249,0.0004608294930875,0.0167725086212158,3
DummyStratified,0.2316176470588235,0.2316176470588235,0.2325721195000855,0.2316176470588235,0.2316569697783706,-0.024542999759738,0.2545954941116232,0.0292081036558435,0.0159220695495605,3
ExtraTrees,0.8088235294117647,0.8088235294117647,0.8088301482280782,0.8088235294117647,0.8076264862236087,0.7458376842373455,0.7970387438129374,0.0187629640522159,0.6312577724456787,5
CatBoost,0.8014705882352942,0.8014705882352942,0.8022696043591566,0.8014705882352942,0.8010632850327507,0.7357981890105969,0.0,0.0,0.7631514072418213,5
SVC_RBF,0.7977941176470589,0.7977941176470589,0.7989866602378657,0.7977941176470589,0.7973309465272529,0.7310380026734803,0.8025857654889913,0.0127906769856548,0.1279637813568115,5
XGBoost,0.7977941176470589,0.7977941176470589,0.7986167305016878,0.7977941176470589,0.7975178154098199,0.7308005541577678,0.7767323775388292,0.0161626473542384,1.4999454021453855,5
Bagging,0.7977941176470589,0.7977941176470588,0.7986979467315304,0.7977941176470589,0.796922011741283,0.731196430328885,0.7841312510667349,0.0128578719490215,8.77323579788208,5
SVC_Linear,0.7941176470588235,0.7941176470588235,0.7937319704001004,0.7941176470588235,0.793859524486123,0.7255294234269193,0.8007296466973886,0.0112095715127959,0.132164716720581,5
HistGradientBoosting,0.7941176470588235,0.7941176470588235,0.7963181882922661,0.7941176470588235,0.7936823767220288,0.7263677923033591,0.7794973544973546,0.0141887623067718,19.964327335357662,5
MLP_Large,0.7941176470588235,0.7941176470588235,0.795429625199362,0.7941176470588235,0.7938809739182873,0.7260661690432364,0.7979604027991125,0.0172147197515871,0.5897767543792725,5
StackingEnsemble,0.7941176470588235,0.7941176470588236,0.7981675827566238,0.7941176470588235,0.7946746302281776,0.7263677923033591,0.8016598395630654,0.0101029348073901,8.026014566421509,5
RandomForest,0.7904411764705882,0.7904411764705882,0.7924441786283891,0.7904411764705882,0.7899623823815705,0.721472935732024,0.7878136200716845,0.0068129226332738,0.7981035709381104,5
VotingEnsemble,0.7904411764705882,0.7904411764705882,0.7934398418733959,0.7904411764705882,0.7901922791300395,0.7216163554602536,0.7905743300904591,0.0163415236070885,8.807973623275757,5
GaussianProcess,0.7904411764705882,0.7904411764705883,0.7897741147741147,0.7904411764705882,0.7897079655660891,0.7208351033126222,0.7988777948455368,0.0089161889719759,54.29158425331116,5
GradientBoosting,0.7867647058823529,0.7867647058823529,0.792411448165459,0.7867647058823529,0.7863688886396368,0.7176808797181123,0.7841269841269841,0.0190421125229607,1.9574429988861084,5
AdaBoost,0.7757352941176471,0.7757352941176471,0.7895235274119846,0.7757352941176471,0.7760377646455898,0.7048912122072488,0.7573562041303976,0.0210329852170399,0.3679237365722656,5
NuSVC,0.7757352941176471,0.7757352941176471,0.7737214611872146,0.7757352941176471,0.7732058721420423,0.701904425686887,0.7933521078682368,0.0135686537170871,0.2136964797973632,5
MLP_Small,0.7757352941176471,0.775735294117647,0.774828130176802,0.7757352941176471,0.7747134472518103,0.7013343843696721,0.7343445980542754,0.0454391869415131,0.2531347274780273,5
LogisticRegression_ElasticNet,0.7757352941176471,0.775735294117647,0.7744869687005237,0.7757352941176471,0.7746754449258392,0.7012458360410405,0.7970344768731865,0.0122520744840365,0.0392682552337646,5
LogisticRegression_L1,0.7757352941176471,0.775735294117647,0.7744869687005237,0.7757352941176471,0.7746754449258392,0.7012458360410405,0.7988777948455368,0.0114221601718688,0.0360200405120849,5
MLP_L2,0.7720588235294118,0.7720588235294117,0.7716336308816708,0.7720588235294118,0.771106379419355,0.696517910542488,0.7767707799965865,0.0299674271954742,0.48531174659729,5
LDA,0.7720588235294118,0.7720588235294117,0.7709789675222039,0.7720588235294118,0.7709673171660123,0.696417384774612,0.7970302099334357,0.015397124235798,0.0279052257537841,5
MLP_Medium,0.7720588235294118,0.7720588235294117,0.7716336308816708,0.7720588235294118,0.771106379419355,0.696517910542488,0.7767707799965865,0.0299674271954742,0.4829344749450683,5
LogisticRegression_L2,0.7720588235294118,0.7720588235294117,0.7706556278425348,0.7720588235294118,0.7707781774917325,0.6964299481153388,0.7997994538317119,0.0146894840626841,0.0330533981323242,5
SVC_Poly,0.7683823529411765,0.7683823529411764,0.7944460766498034,0.7683823529411765,0.7679697125398482,0.7008033651839889,0.765689537463731,0.0092222339270213,0.1598987579345703,5
KNN_7,0.7647058823529411,0.7647058823529412,0.7665012333204553,0.7647058823529411,0.7633606846211931,0.687539533015401,0.7795186891961086,0.0147073781540573,0.084932804107666,5
QDA,0.7647058823529411,0.7647058823529411,0.7640023205595126,0.7647058823529411,0.7624764682358549,0.6873903435739104,0.7721326164874551,0.02349779972385,0.0169882774353027,5
LinearSVC,0.7610294117647058,0.7610294117647058,0.759634649322781,0.7610294117647058,0.7593567558405049,0.6819504263247945,0.7841184502474825,0.0130869650710445,0.1607964038848877,5
KNN_5,0.7610294117647058,0.761029411764706,0.7633636788048552,0.7610294117647058,0.7596610418360892,0.6827520465541821,0.7675200546168288,0.0127069895624596,0.0872509479522705,5
KNN_3,0.7463235294117647,0.7463235294117647,0.7516582562345151,0.7463235294117647,0.7467300539409633,0.662924596124515,0.7481566820276498,0.0144188828084442,0.090958833694458,5
RidgeClassifier,0.7426470588235294,0.7426470588235294,0.7405528007846556,0.7426470588235294,0.7405556884430124,0.6574791838322407,0.7499829322409968,0.0168563368897447,0.02838134765625,5
