mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
2e:ad:62:53:35:66,-38.0,-40.0,-44.0,-50.0,-59.0,-61.0,-67.0,-51.0,-53.0,-63.0,AB,True
2e:ad:62:53:35:66,-38.0,-40.0,-48.0,-56.0,-57.0,-54.0,-49.0,-52.0,-51.0,-50.0,AB,True
2e:ad:62:53:35:66,-44.0,-43.0,-49.0,-68.0,-59.0,-60.0,-56.0,-53.0,-55.0,-50.0,AB,True
2e:ad:62:53:35:66,-40.0,-43.0,-46.0,-58.0,-58.0,-59.0,-53.0,-59.0,-57.0,-53.0,AB,True
2e:ad:62:53:35:66,-55.0,-36.0,-49.0,-53.0,-58.0,-61.0,-60.0,-52.0,-55.0,-51.0,AB,True
2e:ad:62:53:35:66,-37.0,-37.0,-49.0,-57.0,-58.0,-56.0,-58.0,-58.0,-59.0,-49.0,AB,True
2e:ad:62:53:35:66,-41.0,-44.0,-40.0,-53.0,-60.0,-60.0,-58.0,-55.0,-54.0,-52.0,AB,True
2e:ad:62:53:35:66,-42.0,-41.0,-46.0,-59.0,-61.0,-58.0,-59.0,-46.0,-54.0,-52.0,AB,True
2e:ad:62:53:35:66,-38.0,-39.0,-53.0,-62.0,-58.0,-66.0,-60.0,-58.0,-53.0,-57.0,AB,True
2e:ad:62:53:35:66,-44.0,-44.0,-35.0,-50.0,-60.0,-56.0,-60.0,-53.0,-48.0,-50.0,AB,True
2e:ad:62:53:35:66,-39.0,-40.0,-50.0,-60.0,-55.0,-63.0,-53.0,-50.0,-52.0,-51.0,AB,True
2e:ad:62:53:35:66,-42.0,-39.0,-45.0,-50.0,-58.0,-63.0,-53.0,-62.0,-54.0,-54.0,AB,True
2e:ad:62:53:35:66,-36.0,-41.0,-55.0,-60.0,-61.0,-60.0,-56.0,-62.0,-53.0,-49.0,AB,True
2e:ad:62:53:35:66,-43.0,-38.0,-47.0,-58.0,-56.0,-57.0,-63.0,-52.0,-51.0,-56.0,AB,True
2e:ad:62:53:35:66,-51.0,-34.0,-46.0,-67.0,-63.0,-60.0,-57.0,-53.0,-60.0,-51.0,AB,True
2e:ad:62:53:35:66,-39.0,-41.0,-53.0,-54.0,-60.0,-59.0,-63.0,-53.0,-57.0,-52.0,AB,True
2e:ad:62:53:35:66,-39.0,-37.0,-54.0,-55.0,-57.0,-60.0,-55.0,-54.0,-51.0,-52.0,AB,True
2e:ad:62:53:35:66,-42.0,-43.0,-56.0,-57.0,-69.0,-60.0,-55.0,-59.0,-49.0,-48.0,AB,True
2e:ad:62:53:35:66,-45.0,-43.0,-41.0,-57.0,-65.0,-63.0,-57.0,-54.0,-53.0,-49.0,AB,True
2e:ad:62:53:35:66,-35.0,-40.0,-44.0,-58.0,-64.0,-60.0,-58.0,-51.0,-52.0,-55.0,AB,True
2e:ad:62:53:35:66,-43.0,-40.0,-45.0,-53.0,-63.0,-60.0,-52.0,-54.0,-48.0,-54.0,AB,True
2e:ad:62:53:35:66,-37.0,-55.0,-50.0,-57.0,-59.0,-58.0,-50.0,-55.0,-52.0,-51.0,AB,True
2e:ad:62:53:35:66,-39.0,-41.0,-47.0,-65.0,-61.0,-65.0,-51.0,-50.0,-61.0,-49.0,AB,True
2e:ad:62:53:35:66,-38.0,-38.0,-46.0,-57.0,-57.0,-60.0,-53.0,-50.0,-54.0,-43.0,AB,True
2e:ad:62:53:35:66,-42.0,-49.0,-59.0,-54.0,-70.0,-61.0,-52.0,-62.0,-50.0,-53.0,AB,True
2e:ad:62:53:35:66,-40.0,-45.0,-49.0,-51.0,-63.0,-62.0,-55.0,-51.0,-52.0,-46.0,AB,True
2e:ad:62:53:35:66,-41.0,-39.0,-55.0,-59.0,-59.0,-58.0,-60.0,-51.0,-54.0,-48.0,AB,True
