Classifier,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,MCC_Mean,MCC_Std,CV_Mean_Mean,CV_Mean_Std
MLP_L2,0.7944444444444444,0.006364688465216431,0.7944444444444444,0.006364688465216527,0.7997161506365651,0.007755253147475043,0.7944444444444444,0.006364688465216431,0.7946925627224203,0.006792496101565437,0.7274773000896012,0.00853129289676759,0.7939099767306574,0.010998969331282808
MLP_Medium,0.7944444444444444,0.006364688465216431,0.7944444444444444,0.006364688465216527,0.7997161506365651,0.007755253147475043,0.7944444444444444,0.006364688465216431,0.7946925627224203,0.006792496101565437,0.7274773000896012,0.00853129289676759,0.792515634089587,0.011066172969843528
LDA,0.7902777777777779,0.01924500897298757,0.7902777777777777,0.019245008972987587,0.7951726119177002,0.023542301649029054,0.7902777777777779,0.01924500897298757,0.7904965358185577,0.01988992509223668,0.7217847281074151,0.026757095373249013,0.8036740110529377,0.005235387158970485
LinearSVC,0.7861111111111111,0.022948210613692118,0.7861111111111111,0.022948210613692118,0.7890342199732846,0.02654459405510599,0.7861111111111111,0.022948210613692118,0.7857521095483834,0.023847358241935065,0.7159556553368219,0.03128600080584609,0.7984511343804538,0.0021575156675140493
QDA,0.7847222222222222,0.010485881160098227,0.7847222222222223,0.010485881160098345,0.7845872728673037,0.011173119588239239,0.7847222222222222,0.010485881160098227,0.7841943064614859,0.010457899741815416,0.7132409385827274,0.014193765826134302,0.7737001890634089,0.003937444149720883
KNN_7,0.7847222222222222,0.03154949081000151,0.7847222222222222,0.031549490810001544,0.7923921193581899,0.03509069682540954,0.7847222222222222,0.03154949081000151,0.7852896603515557,0.03186826022221966,0.7150170595230522,0.043107627376930684,0.7893706369982548,0.012380958008339434
SVC_Poly,0.7833333333333333,0.004166666666666652,0.7833333333333333,0.0041666666666666935,0.816624535339138,0.0034664967544669177,0.7833333333333333,0.004166666666666652,0.7848008134769993,0.0050716144043329425,0.7223899086704914,0.004741186642422496,0.7618310063990693,0.007930386416641793
KNN_5,0.7763888888888889,0.01734721666221777,0.7763888888888889,0.01734721666221773,0.7843887529727125,0.021585432034555277,0.7763888888888889,0.01734721666221777,0.7760128012016722,0.017216949595454972,0.7044883452438984,0.024749972648365162,0.7715895869691681,0.009693208505822323
KNN_3,0.775,0.03145764348029479,0.775,0.03145764348029479,0.7786344844473172,0.03453211180128646,0.775,0.03145764348029479,0.7738280058627129,0.0312915354901593,0.7017682165575433,0.04310539036742262,0.7510216695753346,0.015079852923826017
RidgeClassifier,0.7638888888888888,0.03543708561714745,0.7638888888888888,0.03543708561714744,0.7649745761056517,0.038732966900408825,0.7638888888888888,0.03543708561714745,0.7629880910252838,0.03698452688992393,0.6860565073063468,0.047354237795524536,0.7576552501454333,0.006954191302246848
SGDClassifier,0.7611111111111111,0.019690898442719235,0.7611111111111111,0.01969089844271913,0.7737852465848,0.016918712213691723,0.7611111111111111,0.019690898442719235,0.7613710857111279,0.02103926656149713,0.6848106423451998,0.02512604950745013,0.7359965823152995,0.016008167683240534
AdaBoost,0.7527777777777778,0.016839382851364104,0.7527777777777778,0.016839382851364104,0.7675788859959378,0.016934910175703564,0.7527777777777778,0.016839382851364104,0.7528141998391847,0.01851610347207533,0.6746370710078162,0.02146228244725801,0.773371146015125,0.007558350275288292
GaussianNB,0.7486111111111112,0.012729376930432844,0.7486111111111112,0.012729376930432844,0.7502809809976564,0.0166542980950945,0.7486111111111112,0.012729376930432844,0.7482863251028137,0.012999902796019461,0.6656174399097677,0.018147639058261205,0.7458006108202443,0.004556818007945547
MLP_Small,0.7388888888888889,0.02545875386086582,0.7388888888888889,0.025458753860865803,0.740624144403625,0.02511290859496575,0.7388888888888889,0.02545875386086582,0.7386416253834632,0.02525661840368593,0.6525193527571131,0.03387152558529977,0.7510125799883652,0.006381492111978512
NearestCentroid,0.7208333333333332,0.02165063509461097,0.7208333333333333,0.021650635094611,0.7218396230430183,0.022804030402514833,0.7208333333333332,0.02165063509461097,0.7196565145584192,0.022265664990483925,0.6288504954484114,0.02886946072592727,0.7332515270506108,0.010073464131032436
DecisionTree,0.7180555555555556,0.015774745405000783,0.7180555555555556,0.015774745405000807,0.7202274260797896,0.018030512214890503,0.7180555555555556,0.015774745405000783,0.7164662892978191,0.017320479441289102,0.6256338290037634,0.020802039127319445,0.6980275596276905,0.016005145336819664
ExtraTree,0.6916666666666668,0.02886751345948121,0.6916666666666668,0.028867513459481346,0.6921856582624256,0.027841665933115413,0.6916666666666668,0.02886751345948121,0.6909222962538112,0.02910393593462093,0.5894617581951404,0.038071517204188034,0.6645851512507271,0.008378259818498008
Perceptron,0.6638888888888889,0.11728506740858799,0.6638888888888889,0.11728506740858805,0.6849082631337223,0.11888819726614376,0.6638888888888889,0.11728506740858799,0.6543306544253271,0.12094406342976438,0.5609210810229114,0.15620270160266217,0.680255599185573,0.027796728039991205
PassiveAggressive,0.6569444444444444,0.09880653562129119,0.6569444444444444,0.09880653562129119,0.6689608735888618,0.10650607835212723,0.6569444444444444,0.09880653562129119,0.6404584209006757,0.10766850043897983,0.5516365770840345,0.13148396839471407,0.6910485747527632,0.050961028086768334
DummyMostFrequent,0.25,0.0,0.25,0.0,0.0625,0.0,0.25,0.0,0.10000000000000002,0.0,0.0,0.0,0.2510471204188482,0.0
DummyStratified,0.23888888888888885,0.031823442326082224,0.23888888888888885,0.031823442326082224,0.23987734010425954,0.03209620465997121,0.23888888888888885,0.031823442326082224,0.23883841936863737,0.03183296617470292,-0.0148308890174782,0.04246215420191149,0.2593895433391506,0.011302176508507683
