Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
LDA,0.8161764705882353,0.8161764705882353,0.8152859981548507,0.8161764705882353,0.814558664954059,0.755624048786497,0.7878306878306879,0.022690261665518328,0.028032302856445312,0.7424242424242424,0.7205882352941176,0.7313432835820896,68.0,0.8857142857142857,0.9117647058823529,0.8985507246376812,68.0,0.819672131147541,0.7352941176470589,0.7751937984496124,68.0,0.8133333333333334,0.8970588235294118,0.8531468531468531,68.0,"[[49, 8, 9, 2], [4, 62, 0, 2], [8, 0, 50, 10], [5, 0, 2, 61]]",49,8,9,2,4,62,0,2,8,0,50,10,5,0,2,61,1.2743710279464722,0.6054150462150574,0.4154714345932007,0.1944679319858551,0.38175901770591736,0.5656365752220154,0.27189093828201294,0.32599109411239624,0.2511492967605591,0.4704883098602295
LinearSVC,0.8161764705882353,0.8161764705882353,0.8146701388888888,0.8161764705882353,0.8147186147186147,0.7553376906680899,0.774906127325482,0.02832747870199492,0.15778493881225586,0.765625,0.7205882352941176,0.7424242424242424,68.0,0.8611111111111112,0.9117647058823529,0.8857142857142857,68.0,0.8125,0.7647058823529411,0.7878787878787878,68.0,0.8194444444444444,0.8676470588235294,0.8428571428571429,68.0,"[[49, 8, 9, 2], [4, 62, 0, 2], [7, 0, 52, 9], [4, 2, 3, 59]]",49,8,9,2,4,62,0,2,7,0,52,9,4,2,3,59,,,,,,,,,,
XGBoost,0.8125,0.8125,0.8123375579740093,0.8125,0.8101545105113885,0.7514776469602726,0.7832223928998123,0.02934951907878708,1.4392619132995605,0.7868852459016393,0.7058823529411765,0.7441860465116279,68.0,0.8529411764705882,0.8529411764705882,0.8529411764705882,68.0,0.8095238095238095,0.75,0.7786259541984732,68.0,0.8,0.9411764705882353,0.8648648648648649,68.0,"[[48, 9, 9, 2], [5, 58, 1, 4], [7, 0, 51, 10], [1, 1, 2, 64]]",48,9,9,2,5,58,1,4,7,0,51,10,1,1,2,64,0.19908243417739868,0.10037795454263687,0.058910101652145386,0.03827285394072533,0.051382873207330704,0.2055366486310959,0.06759396940469742,0.08893789350986481,0.08688041567802429,0.10302495956420898
RandomForest,0.8088235294117647,0.8088235294117647,0.807269289849935,0.8088235294117647,0.8069827959988142,0.745756888633349,0.7970643454514422,0.020665102425149427,0.7943990230560303,0.7692307692307693,0.7352941176470589,0.7518796992481203,68.0,0.8266666666666667,0.9117647058823529,0.8671328671328671,68.0,0.7903225806451613,0.7205882352941176,0.7538461538461538,68.0,0.8428571428571429,0.8676470588235294,0.855072463768116,68.0,"[[50, 7, 9, 2], [3, 62, 1, 2], [11, 1, 49, 7], [1, 5, 3, 59]]",50,7,9,2,3,62,1,2,11,1,49,7,1,5,3,59,0.21455686952302272,0.13004070144227908,0.07578356291582673,0.048764675553234126,0.051931887593222426,0.11024478001275538,0.09615654251645679,0.08890122459964703,0.07798957473633375,0.10563018110722203
NuSVC,0.8088235294117647,0.8088235294117647,0.8085148083623693,0.8088235294117647,0.8048639976199583,0.7475269211522979,0.7869175627240143,0.027122226484723094,0.21436142921447754,0.75,0.7058823529411765,0.7272727272727273,68.0,0.9,0.9264705882352942,0.9130434782608695,68.0,0.8035714285714286,0.6617647058823529,0.7258064516129032,68.0,0.7804878048780488,0.9411764705882353,0.8533333333333334,68.0,"[[48, 7, 10, 3], [5, 63, 0, 0], [8, 0, 45, 15], [3, 0, 1, 64]]",48,7,10,3,5,63,0,0,8,0,45,15,3,0,1,64,,,,,,,,,,
Bagging,0.8051470588235294,0.8051470588235294,0.805147701760605,0.8051470588235294,0.8040988378516982,0.7408505933133928,0.7915429254138932,0.02241464674249749,8.754213333129883,0.7846153846153846,0.75,0.7669172932330827,68.0,0.7866666666666666,0.8676470588235294,0.8251748251748252,68.0,0.8064516129032258,0.7352941176470589,0.7692307692307693,68.0,0.8428571428571429,0.8676470588235294,0.855072463768116,68.0,"[[51, 8, 8, 1], [6, 59, 1, 2], [8, 2, 50, 8], [0, 6, 3, 59]]",51,8,8,1,6,59,1,2,8,2,50,8,0,6,3,59,,,,,,,,,,
QDA,0.8051470588235294,0.8051470588235293,0.8042092293596214,0.8051470588235294,0.8018226420426946,0.7419497986630652,0.765710872162485,0.03193138241055061,0.016767024993896484,0.7894736842105263,0.6617647058823529,0.72,68.0,0.8356164383561644,0.8970588235294118,0.8652482269503546,68.0,0.796875,0.75,0.7727272727272727,68.0,0.7948717948717948,0.9117647058823529,0.8493150684931506,68.0,"[[45, 9, 9, 5], [5, 61, 0, 2], [7, 1, 51, 9], [0, 2, 4, 62]]",45,9,9,5,5,61,0,2,7,1,51,9,0,2,4,62,,,,,,,,,,
SGDClassifier,0.8014705882352942,0.8014705882352942,0.8031917604370515,0.8014705882352942,0.8014526632481807,0.7358380282844975,0.7407706093189964,0.011525884951140325,0.07256674766540527,0.6986301369863014,0.75,0.723404255319149,68.0,0.8611111111111112,0.9117647058823529,0.8857142857142857,68.0,0.7936507936507936,0.7352941176470589,0.7633587786259542,68.0,0.859375,0.8088235294117647,0.8333333333333334,68.0,"[[51, 9, 6, 2], [5, 62, 0, 1], [12, 0, 50, 6], [5, 1, 7, 55]]",51,9,6,2,5,62,0,1,12,0,50,6,5,1,7,55,1.7345316410064697,1.0349860191345215,1.0034472942352295,0.4049731194972992,0.3739171624183655,0.9460299611091614,0.5201171636581421,0.3334618806838989,0.2765127718448639,0.7668664455413818
CatBoost,0.8014705882352942,0.8014705882352942,0.8015399964927763,0.8014705882352942,0.8007213955526784,0.7357583562068535,0.0,0.0,0.7357180118560791,0.7428571428571429,0.7647058823529411,0.7536231884057971,68.0,0.8405797101449275,0.8529411764705882,0.8467153284671532,68.0,0.8032786885245902,0.7205882352941176,0.7596899224806202,68.0,0.8194444444444444,0.8676470588235294,0.8428571428571429,68.0,"[[52, 7, 8, 1], [8, 58, 0, 2], [8, 1, 49, 10], [2, 3, 4, 59]]",52,7,8,1,8,58,0,2,8,1,49,10,2,3,4,59,21.713035840920398,11.435194425538542,7.841256065543858,4.1547207030137185,8.472130221269694,13.553302731797825,6.868051959025218,8.16028895126507,8.13273565653888,9.66928344508681
VotingEnsemble,0.8014705882352942,0.8014705882352942,0.8015743228857983,0.8014705882352942,0.7990349138401647,0.7368227834785919,0.7979860044376172,0.023982624777405804,11.350882530212402,0.8,0.7058823529411765,0.75,68.0,0.7922077922077922,0.8970588235294118,0.8413793103448276,68.0,0.8032786885245902,0.7205882352941176,0.7596899224806202,68.0,0.8108108108108109,0.8823529411764706,0.8450704225352113,68.0,"[[48, 9, 9, 2], [4, 61, 1, 2], [7, 2, 49, 10], [1, 5, 2, 60]]",48,9,9,2,4,61,1,2,7,2,49,10,1,5,2,60,,,,,,,,,,
