Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,Seed
DummyStratified,0.2666666666666666,0.2666666666666666,0.267514007467534,0.2666666666666666,0.2667868562437917,0.0222392170065356,0.2562881762652705,0.0167256149914037,0.0256588459014892,5
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.2510471204188482,0.000523560209424,0.0152747631072998,5
Bagging,0.825,0.8250000000000001,0.8286690433749258,0.825,0.8249055675884944,0.7677871739284837,0.7865783158813263,0.0188686868433079,6.125135183334351,42
CatBoost,0.8166666666666667,0.8166666666666667,0.8310531185502106,0.8166666666666667,0.816709438765994,0.7598773350671201,0.0,0.0,1.158144474029541,42
VotingEnsemble,0.8166666666666667,0.8166666666666668,0.8236930478644663,0.8166666666666667,0.8156232408779043,0.7580690715756185,0.793902705061082,0.0228379804152035,5.958415985107422,42
RandomForest,0.8125,0.8125,0.8165133477633477,0.8125,0.8113627564847076,0.7517246808600527,0.7918193717277486,0.0159240000669141,1.5382962226867676,42
ExtraTrees,0.8083333333333333,0.8083333333333335,0.8138579185816287,0.8083333333333333,0.8072225327140177,0.7466079027821106,0.806446335078534,0.0329640951413459,1.1434338092803955,42
XGBoost,0.8083333333333333,0.8083333333333333,0.8206444081444081,0.8083333333333333,0.8077546258853515,0.7484573701690035,0.7865783158813264,0.0197210846136283,1.5983922481536863,42
StackingEnsemble,0.8041666666666667,0.8041666666666667,0.8158696747557824,0.8041666666666667,0.8047942616353577,0.7419696497458966,0.8106348167539267,0.0271804941420776,6.966734170913696,42
GradientBoosting,0.8041666666666667,0.8041666666666666,0.8114732681022403,0.8041666666666667,0.8023837926131894,0.7423683019254312,0.7907558900523559,0.0248269008363843,3.3102047443389893,42
SVC_RBF,0.8,0.7999999999999999,0.8095720383738817,0.8,0.8001966697797183,0.7362878210650594,0.8148232984293194,0.0313180948563497,0.1956574916839599,42
QDA,0.7958333333333333,0.7958333333333334,0.7967641048644338,0.7958333333333333,0.7953665743637692,0.7283343569640434,0.7782068062827225,0.0221668399803638,0.0268285274505615,42
HistGradientBoosting,0.7958333333333333,0.7958333333333334,0.801335363236616,0.7958333333333333,0.793796782573697,0.7305053551584266,0.7802955933682374,0.0199473921648948,14.471230268478394,42
