Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
HistGradientBoosting,0.7958333333333333,0.7958333333333334,0.801335363236616,0.7958333333333333,0.793796782573697,0.7305053551584266,0.7802955933682374,0.019947392164894807,14.471230268478394,0.8135593220338984,0.8,0.8067226890756303,60.0,0.8153846153846154,0.8833333333333333,0.848,60.0,0.8478260869565217,0.65,0.7358490566037735,60.0,0.7285714285714285,0.85,0.7846153846153846,60.0,"[[48, 3, 5, 4], [6, 53, 0, 1], [4, 3, 39, 14], [1, 6, 2, 51]]",48,3,5,4,6,53,0,1,4,3,39,14,1,6,2,51,,,,,,,,,,
GaussianProcess,0.7916666666666666,0.7916666666666666,0.8032124125874126,0.7916666666666666,0.7927357634314156,0.7250642705182678,0.8127290575916228,0.03349410968550071,97.88734793663025,0.7230769230769231,0.7833333333333333,0.752,60.0,0.9272727272727272,0.85,0.8869565217391304,60.0,0.8541666666666666,0.6833333333333333,0.7592592592592593,60.0,0.7083333333333334,0.85,0.7727272727272727,60.0,"[[47, 2, 5, 6], [8, 51, 0, 1], [5, 0, 41, 14], [5, 2, 2, 51]]",47,2,5,6,8,51,0,1,5,0,41,14,5,2,2,51,,,,,,,,,,
LogisticRegression_ElasticNet,0.7916666666666666,0.7916666666666666,0.7954211465980845,0.7916666666666666,0.791637157623875,0.7233449479638292,0.8053883071553228,0.040385491160650176,0.11525273323059082,0.7424242424242424,0.8166666666666667,0.7777777777777778,60.0,0.8813559322033898,0.8666666666666667,0.8739495798319328,60.0,0.8235294117647058,0.7,0.7567567567567568,60.0,0.734375,0.7833333333333333,0.7580645161290323,60.0,"[[49, 2, 6, 3], [6, 52, 0, 2], [5, 1, 42, 12], [6, 4, 3, 47]]",49,2,6,3,6,52,0,2,5,1,42,12,6,4,3,47,1.068358302116394,0.49861037731170654,0.2872721552848816,0.17023707926273346,0.37275388836860657,0.32285529375076294,0.25344011187553406,0.20921221375465393,0.2711561918258667,0.5173259973526001
LogisticRegression_L2,0.7916666666666666,0.7916666666666666,0.7954211465980845,0.7916666666666666,0.791637157623875,0.7233449479638292,0.8043411867364746,0.03760596210032901,0.05386805534362793,0.7424242424242424,0.8166666666666667,0.7777777777777778,60.0,0.8813559322033898,0.8666666666666667,0.8739495798319328,60.0,0.8235294117647058,0.7,0.7567567567567568,60.0,0.734375,0.7833333333333333,0.7580645161290323,60.0,"[[49, 2, 6, 3], [6, 52, 0, 2], [5, 1, 42, 12], [6, 4, 3, 47]]",49,2,6,3,6,52,0,2,5,1,42,12,6,4,3,47,1.0587944984436035,0.5019917488098145,0.3073149025440216,0.19117408990859985,0.39446789026260376,0.3370068669319153,0.322120726108551,0.22521823644638062,0.2899898588657379,0.5227884650230408
LogisticRegression_L1,0.7916666666666666,0.7916666666666666,0.7954211465980845,0.7916666666666666,0.791637157623875,0.7233449479638292,0.8074880017452006,0.03696012480680022,0.0944986343383789,0.7424242424242424,0.8166666666666667,0.7777777777777778,60.0,0.8813559322033898,0.8666666666666667,0.8739495798319328,60.0,0.8235294117647058,0.7,0.7567567567567568,60.0,0.734375,0.7833333333333333,0.7580645161290323,60.0,"[[49, 2, 6, 3], [6, 52, 0, 2], [5, 1, 42, 12], [6, 4, 3, 47]]",49,2,6,3,6,52,0,2,5,1,42,12,6,4,3,47,1.0796676874160767,0.49435490369796753,0.2674814462661743,0.14780494570732117,0.3555249571800232,0.3241875171661377,0.24772126972675323,0.19784902036190033,0.25485992431640625,0.5138573050498962
MLP_Medium,0.7875,0.7874999999999999,0.7936540600667408,0.7875,0.7877871086956943,0.7183982306936653,0.8043520942408376,0.03469209911357663,0.9904649257659912,0.7580645161290323,0.7833333333333333,0.7704918032786885,60.0,0.896551724137931,0.8666666666666667,0.8813559322033898,60.0,0.82,0.6833333333333333,0.7454545454545455,60.0,0.7,0.8166666666666667,0.7538461538461538,60.0,"[[47, 2, 6, 5], [6, 52, 0, 2], [5, 0, 41, 14], [4, 4, 3, 49]]",47,2,6,5,6,52,0,2,5,0,41,14,4,4,3,49,,,,,,,,,,
MLP_L2,0.7875,0.7874999999999999,0.7936540600667408,0.7875,0.7877871086956943,0.7183982306936653,0.8043520942408376,0.03469209911357663,0.8848865032196045,0.7580645161290323,0.7833333333333333,0.7704918032786885,60.0,0.896551724137931,0.8666666666666667,0.8813559322033898,60.0,0.82,0.6833333333333333,0.7454545454545455,60.0,0.7,0.8166666666666667,0.7538461538461538,60.0,"[[47, 2, 6, 5], [6, 52, 0, 2], [5, 0, 41, 14], [4, 4, 3, 49]]",47,2,6,5,6,52,0,2,5,0,41,14,4,4,3,49,,,,,,,,,,
NuSVC,0.7833333333333333,0.7833333333333332,0.791664315141938,0.7833333333333333,0.7832808003021847,0.7135765485805955,0.8127399650959861,0.029993090483687028,0.2758979797363281,0.7230769230769231,0.7833333333333333,0.752,60.0,0.9137931034482759,0.8833333333333333,0.8983050847457628,60.0,0.8297872340425532,0.65,0.7289719626168224,60.0,0.7,0.8166666666666667,0.7538461538461538,60.0,"[[47, 2, 6, 5], [6, 53, 0, 1], [6, 0, 39, 15], [6, 3, 2, 49]]",47,2,6,5,6,53,0,1,6,0,39,15,6,3,2,49,,,,,,,,,,
LDA,0.7791666666666667,0.7791666666666666,0.7833357119071406,0.7791666666666667,0.7786290956749672,0.7070465079202393,0.8043466404886562,0.02807335026466697,0.026602506637573242,0.7230769230769231,0.7833333333333333,0.752,60.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,60.0,0.8163265306122449,0.6666666666666666,0.7339449541284404,60.0,0.7272727272727273,0.8,0.7619047619047619,60.0,"[[47, 5, 6, 2], [6, 52, 0, 2], [6, 0, 40, 14], [6, 3, 3, 48]]",47,5,6,2,6,52,0,2,6,0,40,14,6,3,3,48,1.3990778923034668,0.6448249816894531,0.36439594626426697,0.21859268844127655,0.476350873708725,0.505622148513794,0.2952037453651428,0.2715527415275574,0.2974340617656708,0.5854583978652954
SVC_Poly,0.7791666666666667,0.7791666666666667,0.8128385428175601,0.7791666666666667,0.7797681365225195,0.7171022332585255,0.7562227312390926,0.03252229504366006,0.234055757522583,0.7368421052631579,0.7,0.717948717948718,60.0,0.9591836734693877,0.7833333333333333,0.8623853211009175,60.0,0.9069767441860465,0.65,0.7572815533980582,60.0,0.6483516483516484,0.9833333333333333,0.7814569536423841,60.0,"[[42, 2, 4, 12], [9, 47, 0, 4], [5, 0, 39, 16], [1, 0, 0, 59]]",42,2,4,12,9,47,0,4,5,0,39,16,1,0,0,59,,,,,,,,,,
LinearSVC,0.775,0.775,0.7778642325416519,0.775,0.7744052197302896,0.7011207413810444,0.8001690663176266,0.028975721184490922,0.266193151473999,0.7384615384615385,0.8,0.768,60.0,0.8387096774193549,0.8666666666666667,0.8524590163934426,60.0,0.82,0.6833333333333333,0.7454545454545455,60.0,0.7142857142857143,0.75,0.7317073170731707,60.0,"[[48, 4, 6, 2], [6, 52, 0, 2], [5, 0, 41, 14], [6, 6, 3, 45]]",48,4,6,2,6,52,0,2,5,0,41,14,6,6,3,45,,,,,,,,,,
KNN_3,0.7708333333333334,0.7708333333333334,0.776468832345191,0.7708333333333334,0.7695357408534523,0.6965761332559242,0.7677519633507854,0.029748795941486487,0.15880227088928223,0.7424242424242424,0.8166666666666667,0.7777777777777778,60.0,0.828125,0.8833333333333333,0.8548387096774194,60.0,0.8478260869565217,0.65,0.7358490566037735,60.0,0.6875,0.7333333333333333,0.7096774193548387,60.0,"[[49, 3, 4, 4], [4, 53, 0, 3], [7, 1, 39, 13], [6, 7, 3, 44]]",49,3,4,4,4,53,0,3,7,1,39,13,6,7,3,44,,,,,,,,,,
KNN_7,0.7708333333333334,0.7708333333333333,0.781678002557842,0.7708333333333334,0.7718573800880513,0.6969820776318242,0.7959860383944154,0.02175839075114655,0.07214903831481934,0.7377049180327869,0.75,0.743801652892562,60.0,0.85,0.85,0.85,60.0,0.8723404255319149,0.6833333333333333,0.7663551401869159,60.0,0.6666666666666666,0.8,0.7272727272727273,60.0,"[[45, 4, 4, 7], [6, 51, 0, 3], [5, 0, 41, 14], [5, 5, 2, 48]]",45,4,4,7,6,51,0,3,5,0,41,14,5,5,2,48,,,,,,,,,,
