Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AA_precision,AA_recall,AA_f1,AA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AA,CM_BB_pred_AB,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AA,CM_BA_pred_AB,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AA,CM_AA_pred_AB,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
NuSVC,0.78125,0.78125,0.799702380952381,0.78125,0.7725961538461539,0.7206366357788055,0.8753846153846153,0.03678178092866118,0.03200340270996094,0.8,0.5,0.6153846153846154,8.0,0.6666666666666666,1.0,0.8,8.0,0.875,0.875,0.875,8.0,0.8571428571428571,0.75,0.8,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [1, 1, 0, 6]]",4,2,1,1,0,8,0,0,0,1,7,0,1,1,0,6,,,,,,,,,,
QDA,0.75,0.75,0.746031746031746,0.75,0.7450980392156863,0.6684095890309709,0.7972307692307693,0.04343150766423111,0.02698826789855957,0.5714285714285714,0.5,0.5333333333333333,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8571428571428571,0.75,0.8,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,"[[4, 1, 1, 2], [1, 7, 0, 0], [2, 0, 6, 0], [0, 1, 0, 7]]",4,1,1,2,1,7,0,0,2,0,6,0,0,1,0,7,,,,,,,,,,
LDA,0.75,0.75,0.7694444444444445,0.75,0.7382999353587589,0.6800818272675608,0.868,0.07041651231849384,0.027992963790893555,0.8,0.5,0.6153846153846154,8.0,0.6666666666666666,1.0,0.8,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8333333333333334,0.625,0.7142857142857143,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [1, 1, 1, 5]]",4,2,1,1,0,8,0,0,0,1,7,0,1,1,1,5,0.670319676399231,1.9280904531478882,1.1165509223937988,0.6092086434364319,0.462414413690567,1.5261495113372803,0.35661399364471436,0.10182207077741623,0.7962459325790405,0.49105095863342285
MLP_L2,0.75,0.75,0.768452380952381,0.75,0.7413461538461539,0.6782462454388758,0.7510769230769231,0.0686119350633408,0.3256521224975586,0.8,0.5,0.6153846153846154,8.0,0.6666666666666666,1.0,0.8,8.0,0.75,0.75,0.75,8.0,0.8571428571428571,0.75,0.8,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [1, 1, 6, 0], [0, 1, 1, 6]]",4,2,1,1,0,8,0,0,1,1,6,0,0,1,1,6,,,,,,,,,,
NearestCentroid,0.75,0.75,0.7569444444444444,0.75,0.7416729512317748,0.6728274136498881,0.8830769230769231,0.023412938313534536,0.02957463264465332,0.8,0.5,0.6153846153846154,8.0,0.7,0.875,0.7777777777777778,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.75,0.75,0.75,8.0,"[[4, 1, 2, 1], [0, 7, 0, 1], [0, 1, 7, 0], [1, 1, 0, 6]]",4,1,2,1,0,7,0,1,0,1,7,0,1,1,0,6,,,,,,,,,,
MLP_Medium,0.75,0.75,0.768452380952381,0.75,0.7413461538461539,0.6782462454388758,0.7510769230769231,0.0686119350633408,0.3460981845855713,0.8,0.5,0.6153846153846154,8.0,0.6666666666666666,1.0,0.8,8.0,0.75,0.75,0.75,8.0,0.8571428571428571,0.75,0.8,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [1, 1, 6, 0], [0, 1, 1, 6]]",4,2,1,1,0,8,0,0,1,1,6,0,0,1,1,6,,,,,,,,,,
MLP_Large,0.71875,0.71875,0.7757575757575758,0.71875,0.6829033367733058,0.6463956203828575,0.7104615384615385,0.0744678954692645,0.3220865726470947,1.0,0.25,0.4,8.0,0.8,1.0,0.8888888888888888,8.0,0.6363636363636364,0.875,0.7368421052631579,8.0,0.6666666666666666,0.75,0.7058823529411765,8.0,"[[2, 1, 3, 2], [0, 8, 0, 0], [0, 0, 7, 1], [0, 1, 1, 6]]",2,1,3,2,0,8,0,0,0,0,7,1,0,1,1,6,,,,,,,,,,
PassiveAggressive,0.71875,0.71875,0.79004329004329,0.71875,0.6842105263157896,0.6518659206234476,0.836923076923077,0.05486077051966946,0.07795572280883789,1.0,0.25,0.4,8.0,0.6666666666666666,1.0,0.8,8.0,0.6363636363636364,0.875,0.7368421052631579,8.0,0.8571428571428571,0.75,0.8,8.0,"[[2, 2, 3, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 1, 6]]",2,2,3,1,0,8,0,0,0,1,7,0,0,1,1,6,4.722962379455566,5.53994607925415,3.207879066467285,2.7318739891052246,4.826797962188721,6.1164655685424805,1.352370262145996,2.146421432495117,3.1704461574554443,1.763286828994751
SVC_Poly,0.6875,0.6875,0.8176470588235294,0.6875,0.6835431235431235,0.6331018843045884,0.726769230769231,0.06419349448135545,0.03029608726501465,1.0,0.375,0.5454545454545454,8.0,1.0,0.875,0.9333333333333333,8.0,0.47058823529411764,1.0,0.64,8.0,0.8,0.5,0.6153846153846154,8.0,"[[3, 0, 4, 1], [0, 7, 1, 0], [0, 0, 8, 0], [0, 0, 4, 4]]",3,0,4,1,0,7,1,0,0,0,8,0,0,0,4,4,,,,,,,,,,
GradientBoosting,0.6875,0.6875,0.6924242424242424,0.6875,0.6726110147162779,0.5934654647590163,0.8206153846153846,0.057073398190970626,2.770284652709961,0.6,0.375,0.46153846153846156,8.0,0.6363636363636364,0.875,0.7368421052631579,8.0,0.7,0.875,0.7777777777777778,8.0,0.8333333333333334,0.625,0.7142857142857143,8.0,"[[3, 2, 2, 1], [1, 7, 0, 0], [0, 1, 7, 0], [1, 1, 1, 5]]",3,2,2,1,1,7,0,0,0,1,7,0,1,1,1,5,0.13738834103623615,0.1972748268136755,0.10503670782454863,0.042412637127035406,0.020323578716559723,0.20853547078870582,0.032560173277411585,0.032194020784025924,0.17448547856903732,0.049788765062763814
XGBoost,0.6875,0.6875,0.6904761904761905,0.6875,0.6862745098039216,0.5848583904020995,0.8596923076923076,0.029438934891975355,0.9426863193511963,0.5714285714285714,0.5,0.5333333333333333,8.0,0.5555555555555556,0.625,0.5882352941176471,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8571428571428571,0.75,0.8,8.0,"[[4, 2, 1, 1], [3, 5, 0, 0], [0, 1, 7, 0], [0, 1, 1, 6]]",4,2,1,1,3,5,0,0,0,1,7,0,0,1,1,6,0.10822448134422302,0.17402489483356476,0.06983128190040588,0.09266024827957153,0.03587338700890541,0.17624932527542114,0.035881076008081436,0.049903493374586105,0.16063165664672852,0.0967201218008995
HistGradientBoosting,0.6875,0.6875,0.7063492063492063,0.6875,0.6941176470588235,0.5848583904020995,0.8286153846153846,0.062223875248071554,1.8600964546203613,0.4444444444444444,0.5,0.47058823529411764,8.0,0.8571428571428571,0.75,0.8,8.0,0.6666666666666666,0.75,0.7058823529411765,8.0,0.8571428571428571,0.75,0.8,8.0,"[[4, 0, 3, 1], [2, 6, 0, 0], [2, 0, 6, 0], [1, 1, 0, 6]]",4,0,3,1,2,6,0,0,2,0,6,0,1,1,0,6,,,,,,,,,,
DecisionTree,0.65625,0.65625,0.6666666666666666,0.65625,0.6565126050420169,0.5437950311197375,0.7738461538461537,0.035961846975229486,0.03977155685424805,0.5,0.5,0.5,8.0,0.6666666666666666,0.75,0.7058823529411765,8.0,0.6666666666666666,0.75,0.7058823529411765,8.0,0.8333333333333334,0.625,0.7142857142857143,8.0,"[[4, 1, 2, 1], [2, 6, 0, 0], [1, 1, 6, 0], [1, 1, 1, 5]]",4,1,2,1,2,6,0,0,1,1,6,0,1,1,1,5,0.09344865126115127,0.21614583333333334,0.05860272036742625,0.03882375022080905,0.010416666666666666,0.29249958664021164,0.015625,0.0,0.23758883317706844,0.03684895833333333
ExtraTree,0.59375,0.59375,0.634659090909091,0.59375,0.6028593117408907,0.4638007234913623,0.7276923076923076,0.1122802917048466,0.028840065002441406,0.36363636363636365,0.5,0.42105263157894735,8.0,0.75,0.75,0.75,8.0,0.625,0.625,0.625,8.0,0.8,0.5,0.6153846153846154,8.0,"[[4, 2, 1, 1], [1, 6, 1, 0], [3, 0, 5, 0], [3, 0, 1, 4]]",4,2,1,1,1,6,1,0,3,0,5,0,3,0,1,4,0.12716511057766614,0.034812675070028,0.06249999999999999,0.0770461715346883,0.1124281477824106,0.20593171296296295,0.11838983233530731,0.00807291666666666,0.1643527508090614,0.08930068226120852
GaussianProcess,0.53125,0.53125,0.5452380952380953,0.53125,0.41570881226053635,0.4733565147343953,0.3369230769230769,0.09068314039920937,1.7573637962341309,0.0,0.0,0.0,8.0,0.8,1.0,0.8888888888888888,8.0,0.38095238095238093,1.0,0.5517241379310345,8.0,1.0,0.125,0.2222222222222222,8.0,"[[0, 1, 7, 0], [0, 8, 0, 0], [0, 0, 8, 0], [0, 1, 6, 1]]",0,1,7,0,0,8,0,0,0,0,8,0,0,1,6,1,,,,,,,,,,
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.23446153846153844,0.004522134909753549,0.01908254623413086,0.25,1.0,0.4,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,"[[8, 0, 0, 0], [8, 0, 0, 0], [8, 0, 0, 0], [8, 0, 0, 0]]",8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,,,,,,,,,,
MLP_Small,0.21875,0.21875,0.058333333333333334,0.21875,0.09210526315789473,-0.10540925533894598,0.23446153846153844,0.024741982145199532,0.12855100631713867,0.0,0.0,0.0,8.0,0.23333333333333334,0.875,0.3684210526315789,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,"[[0, 8, 0, 0], [0, 7, 0, 1], [0, 7, 0, 1], [0, 8, 0, 0]]",0,8,0,0,0,7,0,1,0,7,0,1,0,8,0,0,,,,,,,,,,
DummyStratified,0.15625,0.15625,0.13573232323232323,0.15625,0.14454334365325078,-0.12717117101978923,0.21200000000000002,0.1187923452995821,0.014423608779907227,0.1111111111111111,0.125,0.11764705882352941,8.0,0.25,0.25,0.25,8.0,0.0,0.0,0.0,8.0,0.18181818181818182,0.25,0.21052631578947367,8.0,"[[1, 2, 1, 4], [1, 2, 2, 3], [5, 1, 0, 2], [2, 3, 1, 2]]",1,2,1,4,1,2,2,3,5,1,0,2,2,3,1,2,,,,,,,,,,
