3: 1764085085.306114 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -32, 'rx_bytes': 4473856, 'tx_bytes': 1338423, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 1336979, 'tx_bytes': 892512, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -37, 'rx_bytes': 38007, 'tx_bytes': 25904, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085086.128608 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -33, 'rx_bytes': 4474668, 'tx_bytes': 1338777, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 1337103, 'tx_bytes': 892610, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -36, 'rx_bytes': 38157, 'tx_bytes': 26002, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085086.982258 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -33, 'rx_bytes': 4475054, 'tx_bytes': 1338875, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 1337912, 'tx_bytes': 893211, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -38, 'rx_bytes': 38307, 'tx_bytes': 26100, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085087.803783 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -30, 'rx_bytes': 4475790, 'tx_bytes': 1339131, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -53, 'rx_bytes': 1337990, 'tx_bytes': 893211, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -38, 'rx_bytes': 38457, 'tx_bytes': 26198, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085088.613794 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -35, 'rx_bytes': 4477832, 'tx_bytes': 1339819, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -45, 'rx_bytes': 1338448, 'tx_bytes': 893565, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -38, 'rx_bytes': 38607, 'tx_bytes': 26296, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085089.444298 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -33, 'rx_bytes': 4478594, 'tx_bytes': 1340173, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 1338650, 'tx_bytes': 893663, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -38, 'rx_bytes': 38607, 'tx_bytes': 26296, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085090.255702 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -32, 'rx_bytes': 4483858, 'tx_bytes': 1341469, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 1339160, 'tx_bytes': 894017, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -44, 'rx_bytes': 38757, 'tx_bytes': 26394, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085091.116298 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -37, 'rx_bytes': 4486360, 'tx_bytes': 1341739, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -54, 'rx_bytes': 1339540, 'tx_bytes': 894371, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -39, 'rx_bytes': 38907, 'tx_bytes': 26492, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764085091.930461 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -31, 'rx_bytes': 4488728, 'tx_bytes': 1342093, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -58, 'rx_bytes': 1340416, 'tx_bytes': 895085, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -41, 'rx_bytes': 39057, 'tx_bytes': 26590, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
4: 1764085097.264812 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 97592, 'tx_bytes': 78278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -33, 'rx_bytes': 4494882, 'tx_bytes': 1344451, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -57, 'rx_bytes': 1345198, 'tx_bytes': 898827, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -39, 'rx_bytes': 39807, 'tx_bytes': 27080, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
