3: 1762268154.524682 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -27, 'rx_bytes': 26210, 'tx_bytes': 17247, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 733272, 'tx_bytes': 375693, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -35, 'rx_bytes': 1736250, 'tx_bytes': 600153, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268155.900536 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -52, 'rx_bytes': 26510, 'tx_bytes': 17443, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 733834, 'tx_bytes': 376047, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -36, 'rx_bytes': 1737154, 'tx_bytes': 600605, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268157.277741 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -48, 'rx_bytes': 26660, 'tx_bytes': 17541, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 739093, 'tx_bytes': 377610, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -39, 'rx_bytes': 1738898, 'tx_bytes': 600959, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268158.640152 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -49, 'rx_bytes': 26810, 'tx_bytes': 17639, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 741922, 'tx_bytes': 378787, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -29, 'rx_bytes': 1739654, 'tx_bytes': 601313, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268159.959949 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -49, 'rx_bytes': 27110, 'tx_bytes': 17835, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 743672, 'tx_bytes': 378885, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -40, 'rx_bytes': 1742329, 'tx_bytes': 603616, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268161.279146 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -49, 'rx_bytes': 27260, 'tx_bytes': 17933, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -58, 'rx_bytes': 745650, 'tx_bytes': 379337, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 1748953, 'tx_bytes': 604564, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268162.598372 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -52, 'rx_bytes': 27410, 'tx_bytes': 18031, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 746186, 'tx_bytes': 379691, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -52, 'rx_bytes': 1751487, 'tx_bytes': 604918, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268163.922864 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -58, 'rx_bytes': 27710, 'tx_bytes': 18227, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 746860, 'tx_bytes': 380189, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -54, 'rx_bytes': 1755381, 'tx_bytes': 606476, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268165.288049 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -59, 'rx_bytes': 27860, 'tx_bytes': 18325, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 747594, 'tx_bytes': 380641, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -59, 'rx_bytes': 1757599, 'tx_bytes': 607062, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1762268172.189278 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -52, 'rx_bytes': 28884, 'tx_bytes': 19011, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -53, 'rx_bytes': 751498, 'tx_bytes': 383521, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -54, 'rx_bytes': 1780538, 'tx_bytes': 613077, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -61, 'rx_bytes': 124137, 'tx_bytes': 130957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
