Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
SVC_RBF,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8738461538461537,0.06976545660218418,0.028740644454956055
LogisticRegression_ElasticNet,0.875,0.875,0.89375,0.875,0.8774801587301587,0.837707816583391,0.8427692307692307,0.058123720320582765,0.04491376876831055
MLP_Medium,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.7652307692307692,0.08932408913282176,0.34190797805786133
LDA,0.875,0.875,0.8819444444444444,0.875,0.8767156862745098,0.8344205266636646,0.836,0.0579622403101808,0.028571605682373047
LogisticRegression_L1,0.875,0.875,0.8854166666666666,0.875,0.8742121848739497,0.8366077401842115,0.8670769230769231,0.019764291511079043,0.07810044288635254
RandomForest,0.84375,0.84375,0.8517857142857144,0.84375,0.8430555555555556,0.7947773531750009,0.8433846153846154,0.026866313788237606,1.3061540126800537
CatBoost,0.84375,0.84375,0.85625,0.84375,0.8427579365079365,0.7958224257542214,0.0,0.0,0.7908308506011963
NearestCentroid,0.84375,0.84375,0.8580357142857142,0.84375,0.8465277777777778,0.7947773531750009,0.8504615384615384,0.06525979035122924,0.027654170989990234
Bagging,0.84375,0.84375,0.841765873015873,0.84375,0.8412990196078431,0.7926995003304814,0.7729230769230769,0.05952554023970216,6.143099308013916
PassiveAggressive,0.84375,0.84375,0.84375,0.84375,0.8384978991596639,0.7947773531750009,0.8510769230769231,0.053598551601025675,0.06567525863647461
SGDClassifier,0.84375,0.84375,0.8659722222222223,0.84375,0.8407962543991956,0.7989825537092421,0.8276923076923076,0.04781621620898478,0.07509779930114746
GaussianNB,0.84375,0.84375,0.8555555555555556,0.84375,0.8416433239962651,0.796871631781041,0.858153846153846,0.07491786429505679,0.026169300079345703
GradientBoosting,0.8125,0.8125,0.8198412698412698,0.8125,0.8083099906629319,0.7549310195820389,0.7966153846153846,0.05206641184682838,2.8001060485839844
DecisionTree,0.8125,0.8125,0.8590909090909091,0.8125,0.8064327485380117,0.7650920556760059,0.7418461538461539,0.08050373948460975,0.03914451599121094
HistGradientBoosting,0.8125,0.8125,0.8131944444444446,0.8125,0.8007007290095526,0.756930840356124,0.7415384615384616,0.04361206065206649,1.9030673503875732
QDA,0.78125,0.78125,0.8207070707070707,0.78125,0.786156567890314,0.7167829363048327,0.7316923076923076,0.14838810459669202,0.027933120727539062
ExtraTree,0.71875,0.71875,0.753030303030303,0.71875,0.7215448122568866,0.6333004963811236,0.703076923076923,0.03090738216331735,0.0270845890045166
SVC_Poly,0.71875,0.71875,0.8250000000000001,0.71875,0.7373387482083135,0.6537204504606134,0.6793846153846154,0.06519592683396443,0.03311562538146973
MLP_Small,0.59375,0.59375,0.47925420168067223,0.59375,0.5120833333333333,0.5092920079978712,0.4532307692307692,0.0408385477490143,0.12218046188354492
GaussianProcess,0.4375,0.4375,0.3269230769230769,0.4375,0.3319327731092437,0.39223227027636803,0.33692307692307694,0.12432444670030622,1.2190101146697998
DummyStratified,0.28125,0.28125,0.26587301587301587,0.28125,0.27254901960784317,0.04177559931443568,0.24184615384615382,0.08980926534613137,0.016998767852783203
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.23446153846153844,0.004522134909753549,0.01685619354248047
